Year,block,BBS_route,Mayponds,logMayponds,ccsma1fi,ccsmb1,gfdla1fi,gfdlb1,hadcm3a1fi,hadcm3b1,pcma1fi,pcmb1,,logccsma1fi,logccsmb1,loggfdla1fi,loggfdlb1,loghadcm3a1fi,loghadcm3b1,logpcma1fi,logpcmb1,stopAMCO,birdAMCO,logstpAMCO,logbrdAMCO,stopSORA,birdSORA,logstpSORA,logbrdSORA,stopAMBI,birdAMBI,logstpAMBI,logbrdAMBI,stopBLTE,birdBLTE,logstpBLTE,logbrdBLTE,stopPBGR,birdPBGR,logstpPBGR,logbrdPBGR,stopNOPI,birdNOPI,logstpNOPI,logbrdNOPI
1967,1,22,2777,3.44357588,942,1236,853,854,1789,1691,1225,1204,1224.25,2.974050903,3.092018471,2.930949031,2.931457871,3.252610341,3.228143608,3.088136089,3.080626487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,1,22,2789,3.445448514,2311,1723,1370,1372,2195,2185,1337,1271,1720.5,3.363799945,3.236285277,3.136720567,3.137354111,3.341434525,3.339451441,3.126131407,3.104145551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,1,22,1605,3.205475037,1557,1122,1757,1772,903,888,1140,1172,1288.875,3.192288613,3.049992857,3.244771761,3.248463718,2.95568775,2.948412966,3.056904851,3.068927612,3,14,0.477121255,1.146128036,0,0,0,0,3,4,0.477121255,0.602059991,5,24,0.698970004,1.380211242,0,0,0,0,1,3,0,0.477121255
1970,1,22,3015,3.479287316,329,1138,2144,2126,1612,1592,727,756,1303,2.517195898,3.056142262,3.331224781,3.32756326,3.207365037,3.201943063,2.861534411,2.878521796,2,4,0.301029996,0.602059991,0,0,0,0,0,0,0,0,3,9,0.477121255,0.954242509,0,0,0,0,1,25,0,1.397940009
1971,1,22,3899,3.590953235,1601,974,1959,1980,1266,1196,2237,1902,1639.375,3.204391332,2.988558957,3.292034436,3.29666519,3.102433706,3.07773118,3.349665984,3.279210513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.477121255,0.602059991
1972,1,22,4749,3.67660217,1229,1513,1851,1865,1646,1626,1382,1102,1526.75,3.089551883,3.179838928,3.267406419,3.270678836,3.216429831,3.211120541,3.140508043,3.042181595,3,31,0.477121255,1.491361694,0,0,0,0,1,1,0,0,4,10,0.602059991,1,0,0,0,0,2,11,0.301029996,1.041392685
1973,1,22,4018,3.604009932,2253,1785,1327,1326,347,346,1114,1055,1194.125,3.352761192,3.25163822,3.122870923,3.122543524,2.540329475,2.539076099,3.046885191,3.02325246,2,6,0.301029996,0.77815125,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1974,1,22,3624,3.559188189,2193,2417,2032,2049,2212,2125,2103,2063,2149.25,3.341038632,3.38327665,3.307923704,3.311541958,3.344785123,3.327358934,3.322839273,3.314499228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1975,1,22,3785,3.578065884,2225,964,1290,1244,1483,1407,2116,2230,1619.875,3.347330015,2.984077034,3.11058971,3.09482038,3.171141151,3.148294097,3.325515663,3.348304863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,1,22,3404,3.531989551,1601,1449,1765,1771,2252,2250,1050,1023,1645.125,3.204391332,3.161068385,3.24674471,3.248218561,3.352568386,3.352182518,3.021189299,3.009875634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.301029996
1977,1,22,3934,3.594834356,393,1039,1559,1565,1640,1601,644,550,1123.875,2.59439255,3.016615548,3.192846115,3.194514342,3.214843848,3.204391332,2.808885867,2.740362689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,1,22,5040,3.702430536,1929,1867,1265,1246,1897,1796,1320,1373,1586.625,3.285332228,3.271144318,3.102090526,3.095518042,3.278067331,3.254306332,3.120573931,3.137670537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,1,22,4697,3.67182056,692,2052,1215,1215,1272,1286,1372,1277,1297.625,2.840106094,3.312177356,3.084576278,3.084576278,3.104487111,3.109240969,3.137354111,3.106190897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,1,22,3127,3.495127881,1412,2111,1581,1589,1970,1934,2219,2477,1911.625,3.149834697,3.324488233,3.19893187,3.201123897,3.294466226,3.28645647,3.346157302,3.393926007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,1,22,2446,3.388456453,1014,1244,1499,1493,1643,1613,1139,1098,1342.875,3.006037955,3.09482038,3.175801633,3.174059808,3.215637563,3.207634367,3.056523724,3.04060234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,1,22,4477,3.650987094,1683,984,1413,1428,1126,1093,1299,1258,1285.5,3.226084116,2.992995098,3.150142162,3.154728207,3.051538391,3.038620162,3.113609151,3.099680641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,1,22,4136,3.61658053,1025,432,1736,1729,2365,2297,1005,1704,1536.625,3.010723865,2.635483747,3.239549721,3.237794993,3.373831145,3.361160995,3.002166062,3.23146959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,1,22,3061,3.48586333,2258,1142,1111,1114,1485,1449,2088,1981,1578.5,3.353723938,3.057666104,3.045714059,3.046885191,3.171726454,3.161068385,3.319730494,3.296884476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,1,22,2483,3.39497672,944,716,604,604,1096,1053,1986,1452,1056.875,2.974971994,2.854913022,2.781036939,2.781036939,3.039810554,3.022428371,3.297979244,3.161966616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,1,22,5151,3.71189155,1498,1081,1685,1680,1391,1318,1271,748,1334,3.175511813,3.033825694,3.226599905,3.225309282,3.14332713,3.11991541,3.104145551,2.873901598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,1,22,4772,3.678700435,1447,2540,1325,1379,555,520,2272,2286,1540.5,3.160468531,3.404833717,3.122215878,3.139564266,2.744292983,2.716003344,3.356408327,3.359076226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,1,22,3107,3.492341253,2062,1441,1041,1048,1088,1047,2359,2851,1617.125,3.314288661,3.158663981,3.01745073,3.020361283,3.036628895,3.019946682,3.372727941,3.454997217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,1,22,4028,3.605089462,1398,919,2021,2025,1435,1241,1021,1927,1498.375,3.145507171,2.963315511,3.305566314,3.306425028,3.156851901,3.093771781,3.009025742,3.284881715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,1,22,4534,3.656481516,2525,1165,1461,1449,1149,1160,660,1599,1396,3.402261382,3.066325925,3.164650216,3.161068385,3.060320029,3.064457989,2.819543936,3.203848464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,1,22,5074,3.705350463,570,1989,2081,2086,2352,1033,1070,2379,1695,2.755874856,3.298634783,3.31827208,3.319314304,3.371437317,3.014100322,3.029383778,3.376394442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,1,22,3219,3.507720977,1256,1335,753,750,1920,2333,1424,1195,1370.75,3.098989639,3.125481266,2.876794976,2.875061263,3.283301229,3.367914739,3.153509989,3.077367905,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0.602059991,1,1,0,0,0,0,0,0
1993,1,22,3748,3.573799582,1505,1068,1559,1571,923,993,1318,1352,1286.125,3.1775365,3.028571253,3.192846115,3.196176185,2.965201701,2.996949248,3.11991541,3.130976692,4,4,0.602059991,0.602059991,4,4,0.602059991,0.602059991,1,1,0,0,5,12,0.698970004,1.079181246,1,1,0,0,1,1,0,0
1994,1,22,4520,3.655138435,2077,2327,1473,1472,1258,930,1277,2288,1637.75,3.317436497,3.366796383,3.168202747,3.16790781,3.099680641,2.968482949,3.106190897,3.35945602,3,7,0.477121255,0.84509804,1,2,0,0.301029996,0,0,0,0,6,27,0.77815125,1.431363764,6,6,0.77815125,0.77815125,1,1,0,0
1995,1,22,5152,3.711975854,398,688,2011,2019,2129,1796,1681,1509,1528.875,2.599883072,2.837588438,3.303412071,3.305136319,3.328175661,3.254306332,3.225567713,3.17868924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,1,22,5151,3.71189155,1192,1528,2490,2509,541,2069,2269,1867,1808.125,3.076276255,3.184123354,3.396199347,3.399500661,2.733197265,3.315760491,3.355834496,3.271144318,1,1,0,0,0,0,0,0,1,1,0,0,8,21,0.903089987,1.322219295,4,5,0.602059991,0.698970004,2,4,0.301029996,0.602059991
1997,1,22,5151,3.71189155,1083,1158,1785,1797,1975,1681,2038,1101,1577.25,3.034628457,3.063708559,3.25163822,3.254548077,3.2955671,3.225567713,3.30920418,3.041787319,8,13,0.903089987,1.113943352,2,2,0.301029996,0.301029996,2,2,0.301029996,0.301029996,9,24,0.954242509,1.380211242,6,6,0.77815125,0.77815125,7,10,0.84509804,1
1998,1,22,4878,3.688241796,1078,1561,922,932,2112,1861,2172,1151,1473.625,3.032618761,3.193402903,2.964730921,2.969415912,3.324693914,3.269746373,3.336859821,3.061075324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,1,22,4820,3.683047038,1427,1545,1601,1599,1079,1974,1269,1793,1535.875,3.154423973,3.188928484,3.204391332,3.203848464,3.033021445,3.295347148,3.103461622,3.25358029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,22,3788,3.57840997,378,1590,2114,2116,1852,1373,1933,3019,1796.875,2.5774918,3.201397124,3.325104983,3.325515663,3.267640982,3.137670537,3.286231854,3.479863113,0,0,0,0,1,1,0,0,0,0,0,0,2,3,0.301029996,0.477121255,5,5,0.698970004,0.698970004,2,3,0.301029996,0.477121255
2001,1,22,4114,3.614264287,2209,2008,1608,1877,1446,1700,1077,1368,1661.625,3.344195716,3.302763708,3.206286044,3.273464273,3.160168293,3.230448921,3.032215703,3.136086097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,1,22,4135,3.616475514,2170,1413,1860,1410,783,1044,1501,920,1387.625,3.336459734,3.150142162,3.269512944,3.149219113,2.893761762,3.018700499,3.176380692,2.963787827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,1,22,3668,3.564429327,1167,1929,2374,2221,968,657,1457,1721,1561.75,3.067070856,3.285332228,3.375480715,3.346548559,2.985875357,2.81756537,3.163459552,3.23578087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,1,22,3061,3.48586333,1275,930,1744,1006,919,2390,1839,1537,1455,3.105510185,2.968482949,3.241546481,3.002597981,2.963315511,3.378397901,3.264581729,3.186673867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,1,22,1979,3.296445794,1429,1263,1577,1499,2134,1257,1436,931,1440.75,3.155032229,3.101403351,3.197831693,3.175801633,3.329194415,3.099335278,3.15715444,2.968949681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,2,x,3623,3.559068334,1041,1189,974,1016,2016,1981,1115,1207,1317.375,3.01745073,3.075181855,2.988558957,3.006893708,3.304490528,3.296884476,3.047274867,3.08170727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,2,x,3624,3.559188189,2188,1357,1412,1410,2375,2347,1256,1230,1696.875,3.340047318,3.132579848,3.149834697,3.149219113,3.375663614,3.37051309,3.098989639,3.089905111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,2,x,2484,3.395151592,1139,1390,2069,2054,1110,1814,1011,993,1447.5,3.056523724,3.1430148,3.315760491,3.312600439,3.045322979,3.258637283,3.004751156,2.996949248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,2,x,4374,3.640878779,800,862,2149,2125,1404,1361,1515,1543,1469.875,2.903089987,2.935507266,3.332236415,3.327358934,3.147367108,3.133858125,3.180412633,3.188365926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,2,x,4340,3.63748973,2025,455,1842,1848,1147,1102,2251,1850,1565,3.306425028,2.658011397,3.265289626,3.266701967,3.059563418,3.042181595,3.352375495,3.267171728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,2,x,5009,3.699751032,923,1478,1837,1843,2085,2076,1257,896,1549.375,2.965201701,3.169674434,3.264109156,3.265525335,3.319106059,3.317227349,3.099335278,2.95230801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,2,x,3899,3.590953235,2574,1776,1369,1376,451,458,1189,1144,1292.125,3.410608543,3.249442961,3.136403448,3.138618434,2.654176542,2.660865478,3.075181855,3.058426024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
