Year,block,BBS_route,CCSMA1F1,CCSMB1,GFDLA1F1,GFDLB1,HADCM3A1F1,HADCM3B1,PCMA1F1,PCMB1
1961,1,22,1799,1453,1589,1592,2343,2306,1193,1114
1962,1,22,1382,2279,865,931,564,511,1504,1508
1963,1,22,1576,1033,1092,1082,661,631,1251,1123
1964,1,22,1805,1476,385,374,1859,1848,1205,1283
1965,1,22,1417,1417,1664,1664,1385,1322,1196,1065
1966,1,22,1342,919,1331,1334,664,629,1474,1339
1967,1,22,942,1236,853,854,1789,1691,1225,1204
1968,1,22,2311,1723,1370,1372,2195,2185,1337,1271
1969,1,22,1557,1122,1757,1772,903,888,1140,1172
1970,1,22,329,1138,2144,2126,1612,1592,727,756
1971,1,22,1601,974,1959,1980,1266,1196,2237,1902
1972,1,22,1229,1513,1851,1865,1646,1626,1382,1102
1973,1,22,2253,1785,1327,1326,347,346,1114,1055
1974,1,22,2193,2417,2032,2049,2212,2125,2103,2063
1975,1,22,2225,964,1290,1244,1483,1407,2116,2230
1976,1,22,1601,1449,1765,1771,2252,2250,1050,1023
1977,1,22,393,1039,1559,1565,1640,1601,644,550
1978,1,22,1929,1867,1265,1246,1897,1796,1320,1373
1979,1,22,692,2052,1215,1215,1272,1286,1372,1277
1980,1,22,1412,2111,1581,1589,1970,1934,2219,2477
1981,1,22,1014,1244,1499,1493,1643,1613,1139,1098
1982,1,22,1683,984,1413,1428,1126,1093,1299,1258
1983,1,22,1025,432,1736,1729,2365,2297,1005,1704
1984,1,22,2258,1142,1111,1114,1485,1449,2088,1981
1985,1,22,944,716,604,604,1096,1053,1986,1452
1986,1,22,1498,1081,1685,1680,1391,1318,1271,748
1987,1,22,1447,2540,1325,1379,555,520,2272,2286
1988,1,22,2062,1441,1041,1048,1088,1047,2359,2851
1989,1,22,1398,919,2021,2025,1435,1241,1021,1927
1990,1,22,2525,1165,1461,1449,1149,1160,660,1599
1991,1,22,570,1989,2081,2086,2352,1033,1070,2379
1992,1,22,1256,1335,753,750,1920,2333,1424,1195
1993,1,22,1505,1068,1559,1571,923,993,1318,1352
1994,1,22,2077,2327,1473,1472,1258,930,1277,2288
1995,1,22,398,688,2011,2019,2129,1796,1681,1509
1996,1,22,1192,1528,2490,2509,541,2069,2269,1867
1997,1,22,1083,1158,1785,1797,1975,1681,2038,1101
1998,1,22,1078,1561,922,932,2112,1861,2172,1151
1999,1,22,1427,1545,1601,1599,1079,1974,1269,1793
2000,1,22,378,1590,2114,2116,1852,1373,1933,3019
2001,1,22,2209,2008,1608,1877,1446,1700,1077,1368
2002,1,22,2170,1413,1860,1410,783,1044,1501,920
2003,1,22,1167,1929,2374,2221,968,657,1457,1721
2004,1,22,1275,930,1744,1006,919,2390,1839,1537
2005,1,22,1429,1263,1577,1499,2134,1257,1436,931
2006,1,22,598,1030,1166,1483,742,1470,2035,2189
2007,1,22,1630,591,1878,1002,1431,668,2555,711
2008,1,22,1873,2029,2119,1942,2293,1174,2121,2417
2009,1,22,943,1235,1956,1803,1335,1484,1377,1673
2010,1,22,1248,681,2082,2260,1196,963,2287,2286
2011,1,22,890,1098,2060,1008,2051,1813,1405,1615
2012,1,22,893,812,1460,1059,2458,1572,1594,1651
2013,1,22,1751,2351,1608,1205,1169,1785,1276,892
2014,1,22,967,1101,960,2434,1346,1007,1839,1393
2015,1,22,757,2287,1681,2474,2104,1914,2529,1122
2016,1,22,428,1275,1912,1261,810,1654,1520,2416
2017,1,22,2016,2045,1873,1574,1768,1255,1771,2451
2018,1,22,1029,1091,1339,1576,1390,1341,1674,2128
2019,1,22,2118,1926,1622,2285,1522,999,1169,1615
2020,1,22,1615,1717,2513,792,1061,1279,1113,1723
2021,1,22,2380,1640,2086,1863,1456,763,776,2209
2022,1,22,1963,1469,2103,2005,1361,1559,2384,838
2023,1,22,1815,1279,1669,1559,1970,1395,1895,1599
2024,1,22,1237,1025,1616,2062,833,1736,1913,749
2025,1,22,654,2366,2016,513,1610,637,841,966
2026,1,22,2354,1776,1299,1922,1103,1384,2072,1305
2027,1,22,1067,2261,1655,2116,1228,1675,1833,1702
2028,1,22,1130,1456,1290,714,1246,1551,997,1272
2029,1,22,475,1807,1616,1640,1432,1164,1810,1170
2030,1,22,662,1020,1892,2282,1884,1665,1252,2410
2031,1,22,590,2858,2323,1762,1108,534,1811,2365
2032,1,22,2614,1971,1216,1245,2708,1097,1126,1567
2033,1,22,600,1231,1604,1582,1566,837,1927,1643
2034,1,22,1369,2027,2350,1743,1744,1339,780,685
2035,1,22,2226,1749,2074,1935,2070,1392,1291,1305
2036,1,22,1967,552,2311,1772,625,1079,1350,1839
2037,1,22,2042,1005,1884,1335,1180,1023,2464,2215
2038,1,22,828,1219,1983,1564,1617,1758,1915,1408
2039,1,22,1374,1110,1099,829,1741,1340,1566,1363
2040,1,22,1354,1283,871,2458,1330,256,1261,1442
2041,1,22,2604,1332,2327,2644,1325,1564,1698,929
2042,1,22,1184,1965,1659,1350,1691,1213,1624,1358
2043,1,22,897,2047,1108,2340,1137,1980,2449,1635
2044,1,22,1341,1907,2359,1202,2234,1597,1124,2383
2045,1,22,1371,1907,1345,2085,1615,1459,1297,1878
2046,1,22,465,497,1319,1626,1654,951,1661,1935
2047,1,22,776,1238,2288,1067,1481,766,1302,1925
2048,1,22,1130,2149,1123,1930,818,819,1235,2071
2049,1,22,2070,1510,1830,994,1913,1699,1954,1376
2050,1,22,1122,2240,881,978,1400,1328,2068,801
2051,1,22,776,1434,2267,1427,1846,1038,997,2109
2052,1,22,1213,2221,1274,1407,1147,953,1827,1922
2053,1,22,849,1791,2234,1241,793,1775,1398,1626
2054,1,22,1733,1351,2187,1875,1267,813,2051,1151
2055,1,22,1691,2106,848,1484,1287,1205,1880,1728
2056,1,22,1644,1441,1739,769,695,1247,1667,1458
2057,1,22,1377,2051,2509,1281,1466,577,1883,766
2058,1,22,704,1077,1349,2739,1978,1308,1111,1081
2059,1,22,1174,2804,2349,2388,1325,1239,1428,2697
2060,1,22,2003,1000,2191,1304,1816,959,1967,2743
2061,1,22,552,1747,1812,745,1567,1173,1296,1012
2062,1,22,1377,1610,1715,1479,1696,1075,2301,2225
2063,1,22,1458,1194,2159,2929,1609,1287,1320,1346
2064,1,22,2121,1706,2400,2356,1129,1423,2342,1008
2065,1,22,1565,668,1423,1693,2628,1664,1995,1433
2066,1,22,1298,1911,2166,1076,1308,849,964,1321
2067,1,22,1099,1935,2246,2267,2079,1417,2108,1210
2068,1,22,2294,1148,1881,1592,1650,1298,2415,1405
2069,1,22,1258,1193,2246,2552,1352,1920,1215,1548
2070,1,22,1129,2655,1292,1296,1218,822,1180,2307
2071,1,22,2295,1625,2736,795,954,594,1607,2531
2072,1,22,1333,1576,1689,1011,1522,1051,1510,2126
2073,1,22,1450,1536,1271,1637,1432,1161,1500,1268
2074,1,22,1978,972,1996,1289,806,2145,1739,1579
2075,1,22,1927,1353,1578,1460,490,1603,1224,1452
2076,1,22,1964,1756,2875,3019,924,663,2088,1503
2077,1,22,1841,1384,1045,2398,1173,1129,1349,1557
2078,1,22,2001,2022,2912,1748,2254,1209,1743,2044
2079,1,22,1684,1483,1185,2541,1081,1250,1775,1624
2080,1,22,2027,637,1835,2849,1404,750,1378,2017
2081,1,22,1566,942,2423,1602,900,1265,1229,1037
2082,1,22,1922,2012,2826,2173,1752,726,1245,1714
2083,1,22,2274,1175,1410,2425,1299,1167,2136,1915
2084,1,22,1662,1522,2094,1829,1298,1492,1706,2234
2085,1,22,1263,846,2850,558,2070,1404,1282,1414
2086,1,22,1469,1038,1340,1205,2178,1758,2160,1454
2087,1,22,1411,2268,2129,1505,2197,642,2445,1882
2088,1,22,1048,1065,1861,1486,1933,1072,2476,1329
2089,1,22,1750,1003,1907,1642,1114,1361,1738,2153
2090,1,22,2142,1415,1942,1449,1771,1426,1452,1064
2091,1,22,2008,688,2382,1966,1095,1900,1650,1908
2092,1,22,1259,1395,368,573,1950,493,1225,1554
2093,1,22,770,1659,2924,2959,1815,1141,612,1972
2094,1,22,1254,1710,1575,2834,1159,382,1194,1971
2095,1,22,1915,1151,2912,2112,1450,1655,2364,2151
2096,1,22,1495,1045,1272,1854,1950,849,1368,2099
2097,1,22,1957,1426,1609,780,1600,1744,1281,1572
2098,1,22,2536,1728,2224,2968,1691,1255,1503,1233
2099,1,22,1752,2473,2445,1931,1023,2610,1634,2649
1961,2,x,1546,1492,1670,1690,2313,2282,1212,1131
1962,2,x,1623,2368,1134,1150,519,464,1368,1383
1963,2,x,1403,986,1674,1658,780,681,1306,1091
1964,2,x,1362,1532,1234,1172,1872,1861,1140,1273
1965,2,x,1465,1787,1624,1626,1248,1198,1335,1085
1966,2,x,1711,1028,1354,1358,723,678,1459,1232
1967,2,x,1041,1189,974,1016,2016,1981,1115,1207
1968,2,x,2188,1357,1412,1410,2375,2347,1256,1230
1969,2,x,1139,1390,2069,2054,1110,1814,1011,993
1970,2,x,800,862,2149,2125,1404,1361,1515,1543
1971,2,x,2025,455,1842,1848,1147,1102,2251,1850
1972,2,x,923,1478,1837,1843,2085,2076,1257,896
1973,2,x,2574,1776,1369,1376,451,458,1189,1144
1974,2,x,2318,2324,1867,1874,2049,1990,1972,1968
1975,2,x,2135,1064,1317,1274,1478,1422,2013,2218
1976,2,x,1590,1564,1619,1610,2176,2163,1110,1009
1977,2,x,280,1034,1587,1588,1493,1429,678,533
1978,2,x,1748,2199,1327,1319,1870,1783,1460,1465
1979,2,x,860,2032,1156,1156,1978,1904,1763,1893
1980,2,x,1786,2148,2058,2066,1733,1710,2247,2607
1981,2,x,752,1373,1549,1553,1771,1728,1249,1326
1982,2,x,1591,1369,1656,1705,1166,1147,1764,1821
1983,2,x,1138,911,1846,1825,2335,2174,1515,1646
1984,2,x,2770,1772,1135,1136,1493,1439,1934,2115
1985,2,x,1357,817,689,681,984,924,1954,1797
1986,2,x,1817,1017,1917,1927,1200,1197,1237,763
1987,2,x,811,2590,1451,1468,686,478,2146,2342
1988,2,x,2198,1547,1091,1098,1097,1068,2349,2901
1989,2,x,1074,918,1764,1769,1662,1533,1016,1851
1990,2,x,2305,1570,1397,1352,1046,898,1306,1546
1991,2,x,851,1937,2224,2221,2288,1002,990,2417
1992,2,x,1385,1304,807,793,1813,2302,1467,1109
1993,2,x,1567,1117,1486,1497,668,1346,1324,1365
1994,2,x,1772,2350,1506,1503,1210,879,1021,2072
1995,2,x,628,750,2072,2065,2187,1799,1486,1603
1996,2,x,1298,1471,2922,2922,498,2035,2279,1722
1997,2,x,1612,1149,1474,1483,1929,1851,1923,1197
1998,2,x,923,1500,821,1381,2157,1860,2248,916
1999,2,x,1117,1531,1458,1456,1060,1899,1155,1822
2000,2,x,666,1441,2292,2324,1719,1315,1663,3019
2001,2,x,2387,1781,1717,1810,1267,1535,1495,1198
2002,2,x,1784,1480,2059,913,734,1062,1264,1032
2003,2,x,1066,2383,2848,2053,1484,590,1284,1620
2004,2,x,1698,1280,1807,873,1040,2310,1752,1507
2005,2,x,1271,1227,1353,1396,2181,1249,1357,867
2006,2,x,402,868,1557,1393,839,1366,2032,2316
2007,2,x,1779,556,1766,1019,1860,840,2780,814
2008,2,x,1147,2139,1942,2152,2090,1063,1997,2533
2009,2,x,641,1573,1795,1711,1417,1615,1275,1839
2010,2,x,977,1001,2092,2270,1834,976,2479,2445
2011,2,x,1532,1617,1939,1818,2014,1661,1196,1695
2012,2,x,2054,828,1209,1576,2419,1575,1677,1610
